,message.sender_id,message.text,message.date,message.id,message.peer_id.channel_id
80,-1001466074174,"SOME ALTS MAKING GOOD RECOVERY, LETS SEE HOW BTC PA WORKS FOR NEXT FEW HOURS, I WILL BE HAPPY IF IT MAKES A ""V"" SHAPED RECOVERY",2021-05-21 14:11:10+00:00,113,1466074174
81,-1001466074174,LOOKING TO SHORT ETHUSDT- WAITING FOR THIS 4HR CLOSE,2021-05-21 14:35:19+00:00,114,1466074174
82,-1001466074174,"AAVEUSDT LONG- ENTRY AT CURRENT RATE 343, STOPLOSS 310, TARGET 509, 

https://www.tradingview.com/x/06vBcBWc/",2021-05-22 08:42:52+00:00,115,1466074174
83,-1001466074174,USE NO MORE THAN 1-2% CAPITAL,2021-05-22 08:43:00+00:00,116,1466074174
84,-1001466074174,"BTCUSDT UPDATE- MAYBE SOMETHING LIKE THIS- SHORT SQUEEZE AND THAN DOWN
https://www.tradingview.com/x/Ev6hsaXr/",2021-05-22 08:54:44+00:00,117,1466074174
85,-1001466074174,"SRMUSDT LONG- BUY AT CURRENT PRICE 5.16, STOPLOSS 4.6, FINAL TARGET 7.5
https://www.tradingview.com/x/9nKua7Db/",2021-05-22 12:36:33+00:00,118,1466074174
86,-1001466074174,"BTCUSDT SHORT IS DOING OKAY, BOTH LONG SCALP STOPPED OUT",2021-05-23 08:06:22+00:00,119,1466074174
87,-1001466074174,"ETHUSDT PLAN- NEVER GOT THE MOVE UP TO SHORT- GOING FORWARD I EXPECT SOMETHING LIKE THIS TO HAPPEN
https://www.tradingview.com/x/SVIzJDY2/",2021-05-23 09:25:42+00:00,120,1466074174
88,-1001466074174,"ETHUSDT UPDATE- SOON WILL START TO SCALE INTO LONG
https://www.tradingview.com/x/GQuWtotf/",2021-05-23 12:52:54+00:00,121,1466074174
89,-1001466074174,"ETHUSDT UPDATE- GOING AS PER PLAN- WILL START SCALING INTO LONG AT AROUND 1750
https://www.tradingview.com/x/euoohk3Z/",2021-05-23 16:20:50+00:00,122,1466074174
90,-1001466074174,WENT LONG AT 1750 AS PLANNED,2021-05-23 16:47:12+00:00,123,1466074174
91,-1001466074174,"ETHUSDT LONG

https://www.tradingview.com/x/5DPkySTv/",2021-05-23 16:48:13+00:00,124,1466074174
92,-1001466074174,LETS HOPE THIS WAS THE LOCAL BOTTOM,2021-05-23 17:01:12+00:00,125,1466074174
93,-1001466074174,,2021-05-23 17:04:26+00:00,126,1466074174
94,-1001466074174,Avg buying price 1845,2021-05-23 17:04:34+00:00,127,1466074174
95,-1001466074174,"ETHUSDT LONG UPDATE- LOOKS LIKE WE CAUGHT THE BOTTOM- CLOSING 25% HERE
https://www.tradingview.com/x/rz7CArCz/",2021-05-24 03:18:30+00:00,128,1466074174
96,-1001466074174,"MARKET LOOKS GOOD,  WILL BE TAKING COUPLE OF LEVERAGED TRADES ON THE PULL BACK",2021-05-24 03:19:30+00:00,129,1466074174
97,-1001466074174,"ALICEUSDT LONG- PUT BIDS AROUND 4.3-4.45
https://www.tradingview.com/x/vGqwRqVC/",2021-05-24 04:10:03+00:00,130,1466074174
98,-1001466074174,"REMOVE THE ALICE BIDS, WE WILL ENTER AT MARKET RATE ON THE PULLBACK, TILL THEN RIDE ETH,",2021-05-24 07:09:57+00:00,131,1466074174
99,-1001466074174,"AND REMEMBER GUYS, I STILL THINK THIS IS JUST A BOUNCE TILL 3000-3200 BEFORE THE MAJOR DIP, WE NEED TO BREAK AND HOLD ABOVE 3200 TO BE BULLISH",2021-05-24 07:10:33+00:00,132,1466074174
100,-1001466074174,"ALICEUSDT SHORT SCALP
https://www.tradingview.com/x/GmsOTt4m/",2021-05-24 08:33:47+00:00,133,1466074174
101,-1001466074174,"ETHUSDT LONG UPDATE- CLOSED 50% HERE, STOPS AT ENTRY
https://www.tradingview.com/x/MDzepJTj/",2021-05-24 12:00:52+00:00,134,1466074174
102,-1001466074174,"MORNING GUYS - ETHUSDT UP MORE THAN 50% FROM ENTRY-  CLOSED ANOTHER 20% HERE, STOPLOSS MOVED TO ENTRY
https://www.tradingview.com/x/83Q44LgY/",2021-05-25 00:42:52+00:00,135,1466074174
103,-1001466074174,AND STILL WAITING FOR PULLBACK TO ENTER OTHER LEVERAGED TRADES,2021-05-25 00:43:17+00:00,136,1466074174
104,-1001466074174,"SOLUSDT- BOUGHT SOME SOLUSDT SPOT HERE AT 29.8 - TARGET - 38-48-60
https://www.tradingview.com/x/5zBygIjh/",2021-05-25 07:06:02+00:00,137,1466074174
105,-1001466074174,"SINCE THIS IS SPOT, I AM NOT PUTTING ANY STOPLOSS",2021-05-25 07:06:11+00:00,138,1466074174
106,-1001466074174,"SOLUSDT UPDATE
https://www.tradingview.com/x/yMq7s3rO/",2021-05-26 07:15:52+00:00,139,1466074174
107,-1001466074174,"ETHUSDT LONG UPDATE- UP 67% FROM ENTRY WITHOUT LEVERAGE
https://www.tradingview.com/x/gqYdNKZ7/",2021-05-26 07:17:07+00:00,140,1466074174
108,-1001466074174,"WILL KEEP THE REMAINING 30% OPEN ONCE THE TARGET HIT, WILL UPDATE IF I SEE WEAKNESS",2021-05-26 07:17:46+00:00,141,1466074174
109,-1001466074174,"NOTHIN GOES STRAIGHT UP IN LINE, I AM SEEING A LOT OF PEOPLE FOMOING INTO POSITION,  DONT!!!!",2021-05-26 07:19:45+00:00,142,1466074174
110,-1001466074174,"ALICEUSDT LONG PLAN
https://www.tradingview.com/x/ONqCEnsm/",2021-05-26 10:16:51+00:00,143,1466074174
111,-1001466074174,"ALICEUSDT - GOING AS PER PLAN
https://www.tradingview.com/x/pEMh4a2L/",2021-05-26 13:53:22+00:00,144,1466074174
112,-1001466074174,"AKROUSDT LONG
https://www.tradingview.com/x/mBLv4Q7g/",2021-05-26 16:25:32+00:00,145,1466074174
113,-1001466074174,"BTCUSDT INTRADAY PLAN
https://www.tradingview.com/x/LCfnhY3z/",2021-05-27 05:36:01+00:00,146,1466074174
114,-1001466074174,"BTCUSDT UPDATE
https://www.tradingview.com/x/CJ6dTW96/",2021-05-27 09:00:43+00:00,147,1466074174
115,-1001466074174,"BTCUSDT INTRADAY PLAN UPDATE- CLOSED LONG AND ENTERED SHORT
https://www.tradingview.com/x/RtAi9tAj/",2021-05-27 16:41:56+00:00,148,1466074174
116,-1001466074174,,2021-05-27 16:43:01+00:00,149,1466074174
117,-1001466074174,"BTCUSDT PLAN, - LOOKING TO CLOSE 100% POSITION BY 34500",2021-05-27 19:33:47+00:00,150,1466074174
118,-1001466074174,"BTCUSDT - THIS IS WHAT I WILL BE LOOKING FOR TOMORROW, LETS SEE IF WE GET IT
https://www.tradingview.com/x/q61PZWwP/",2021-05-27 19:34:34+00:00,151,1466074174
119,-1001466074174,"HOPE U ALL MAKE SOME GOOD PROFIT TODAY, SEE U GUYS TOMORROW",2021-05-27 19:34:52+00:00,152,1466074174
120,-1001466074174,"ALICEUSDT SHORT INTRADAY PLAN
https://www.tradingview.com/x/qspVJ9u1/",2021-05-28 04:15:47+00:00,153,1466074174
121,-1001466074174,,2021-05-28 04:56:01+00:00,154,1466074174
122,-1001466074174,BTCUSDT- KEEP AN EYE ON THIS FOR LONG,2021-05-28 04:58:42+00:00,155,1466074174
123,-1001466074174,"CURRENT RUNNING TRADES- ETHUSDT LONG- 30%POSITION RUNING
BTCUSDT SHORT
ALICEUSDT SHORT
SOLUSDT SPOT BUY- CLOSED 30%",2021-05-28 06:35:50+00:00,156,1466074174
124,-1001466074174,"BTCUSDT SHORT UPDATE
https://www.tradingview.com/x/m53Jq59v/",2021-05-28 07:00:15+00:00,157,1466074174
125,-1001466074174,"ALICEUSDT SHORT UPDATE
https://www.tradingview.com/x/ff4CX1P3/",2021-05-28 07:04:28+00:00,158,1466074174
126,-1001466074174,"BTCUSDT SHORT- ALRIGHT GUYS, GREAT TRADE AGAIN - I AM OUT 80%, HERE,
https://www.tradingview.com/x/llTCva7W/",2021-05-28 09:29:56+00:00,159,1466074174
127,-1001466074174,WILL UPDATE IF I TAKE A LONG,2021-05-28 09:30:09+00:00,160,1466074174
128,-1001466074174,"ALICEUSDT- I AM OUT 70% HERE, STOPS AT ENTRY
https://www.tradingview.com/x/QBJrnIvw/",2021-05-28 10:28:50+00:00,161,1466074174
129,-1001466074174,I THINK WE GET ONE MORE LEG DOWN BEFORE MAKING A MOVE UP,2021-05-28 10:29:00+00:00,162,1466074174
130,-1001466074174,"WAITING FOR BTC TO TAKE OUT MONDAY LOWS , CONSOLIDATE A BIT AND START MOVING UP",2021-05-28 10:29:31+00:00,163,1466074174
131,-1001466074174,"AKROUSDT SWING LONG - PLACE BIDS AROUND 0.0185-0.0175
https://www.tradingview.com/x/0ZPhEWss/",2021-05-28 10:35:56+00:00,164,1466074174
132,-1001466074174,"BTCUSDT SWING LONG- PLACE BIDS AROUND 34500-34100
https://www.tradingview.com/x/Kx7JYTm4/",2021-05-28 10:43:41+00:00,165,1466074174
133,-1001466074174,"AND MAKE SURE TO USE PROPER RISK MANAGEMENT, I AM JUST TRYING TO CATCH THE BOTTOM HERE JUST LIKE WE DID ON ETHERIUM

DO NOT RISK MORE THAN 1% CAPITAL IN THE TRADES ABOVE",2021-05-28 10:44:53+00:00,166,1466074174
134,-1001466074174,"LOOKS LIKE WE NEARING THE TO LOCAL BOTTOM , HAVE BTC AND AKRO BIDS SET",2021-05-28 12:05:30+00:00,167,1466074174
135,-1001466074174,I BOUGHT SOME XRPUSDT HERE AT 0.864 ON SPOT TARGETING 1.6,2021-05-28 12:05:44+00:00,168,1466074174
136,-1001466074174,WILL ADD UPTO 0.8,2021-05-28 12:06:14+00:00,169,1466074174
137,-1001466074174,"AND AGAIN , I CANNOT STRESS ENOUGH, IF YOU TRADE FUTURES, PLEASE FOLLOW STRICT RISK MANAGEMENT,  THERE WILL BE WRONG TRADES, BUT IF U MANAGE THE RISK PROPERLY, WINNING TRADES WILL SUBSTANTIALLY INCREASE YOUR ACCOUNT SIZE",2021-05-28 12:08:43+00:00,170,1466074174
138,-1001466074174,"BTCUSDT - IF IN CASE OUR BIDS ARE NOT TAKEN, THIS IS HOW I WILL PLAN TO ENTER, ON THE  CLEAN BREAK INSIDE THE RANGE, THOUGH I BELIEVE WE SHD GET 1 MORE MOVE DOWN TO TAKE THE LOWS
https://www.tradingview.com/x/xJbEvLLp/",2021-05-28 12:10:38+00:00,171,1466074174
139,-1001466074174,"ETHUSDT LONG UPDATE- I STILL HAVE 30% POSITION RUNNING, STOPS IN PROFIT, 
https://www.tradingview.com/x/5YU3ZTVA/",2021-05-28 12:14:12+00:00,172,1466074174
140,-1001466074174,"ALICEUSDT SHORT- 100% CLOSED
https://www.tradingview.com/x/ue96ArJ2/",2021-05-28 13:00:18+00:00,173,1466074174
141,-1001466074174,NICE BIG WINNERS TODAY IN BTC AND ALICE SHORT,2021-05-28 13:00:32+00:00,174,1466074174
